കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Type
അധരം മധുരം വചനം മധുരം,തോടകം SSSS,,കവിത
അച്ചുതം കേശവം രാമനാരായണം,സ്വഗൃണി RRRR,,കവിത
കേട്ടീലയോ കിഞ്ചന വർത്തമാനം,ഇന്ദ്രവജ്ര,,കവിത
നില്ലു നില്ലെട സുയോധന കർണ്ണാ,സ്വാഗത RN,,കവിത
കുളിരുകോരീടുമീ പ്പുലർവേളയിൽ,ദ്രുതവിളംബിതം,,കവിത
ശാന്താ കാരം ഭുജഗ ശയനം പദ്മനാഭം സുരേശം,മന്ദാക്രാന്താ,,കവിത
ചകാര ചണ്ഡ താണ്ഡവം തനോതുന ശിവ ശി വം,,,കവിത
സമർത്ഥനായ സീസറും പ്രസിദ്ധനായ ഹോമറും,പഞ്ച ചാമരം,,കവിത
മരങ്ങൾ താഴുന്നു ഫലാഗമത്തിനാൽ,വംശസ്ഥം,,കവിത
അവിടവിടെ മിഴിച്ചു നോക്കി നിന്നു,പുഷ്പിതാഗ്ര,,കവിത
കഴുത്തിൽ കളങ്കം ഭുജംഗങ്ങൾ മെയ്യിൽ,ഭുജംഗ പ്രയാതം,,കവിത
പരദൂഷണ പടുതക്കൊരു കുറവില്ലതു ഗഹനം,ശങ്കരചരിതം,,കവിത
തടിച്ച തിര മാലയാൽ തടമടിച്ചുഗ്രമായ്,പൃഥ്വി,,കവിത
മാണിക്യവീണാമുപലാളയന്തീം,ഇന്ദ്രവജ്ര,,കവിത
മദാലസാം മഞ്ജുള വാഗ്വിലാസാം,ഇന്ദ്രവജ്ര,,കവിത
വായിക്കുമ്പോൾ രസിക്കുന്നൊരു,സ്രഗ്ന്ധര,,കവിത
ചടുല മഹാകാവ്യമാണീ പ്രപഞ്ചം,സ്രഗ്ന്ധര,,കവിത
പൊരുളേ പുരി മൂന്നുമെരിച്ചവനേ,തോടകം,,കവിത
സമുദ്രം വഴിത്താൻ വിദേശാ ധിപത്യം,ഭുജംഗപ്രയാതം,,കവിത
മൊബൈൽ ഫോൺ വഴിത്താൻ സമഗ്രാധിപത്യം,ഭുജംഗപ്രയാതം,,കവിത
മ ധുരംനുണയാൻ വരുമോ സഖി നീ,തോടകം,,കവിത
അണയാൻ മടിയോ പ്ര ണയ കൊടിയേ,തോടകം,,കവിത
വെടിക്കെട്ടു പൊട്ടുന്ന പോലിതാശബ്ദം,ഭുജംഗപ്രയാതം,,കവിത
മഞ്ഞണിയും മാമല തൻ പൊന്മകളെ നിൻ കരുണ,,,കവിത
കരുണക്കടലേ അമുതക്കൊടിയേ,,,കവിത
നറുതേനൊഴുകും ഹൃദയത്തണലേ,,,കവിത
ചന്തമേറിയ പൂവിലും ശഭളാഭമാം ശലഭത്തിലും,,,കവിത
കരംപിടിച്ച നാൾ മുതൽഹൃത്തിലും വനത്തിലും,,,കവിത
വാണീദേവി രസനിയിലെങ്ങും,,,കവിത
വാണീടേണം വിരസത പോക്കാൻ,,,കവിത
സ്നേഹമാണഖിലസാരമൂഴിയിൽ,,,കവിത
ഭാരതീയവരെന്നു നിനയ്ക്കിൽ,,,കവിത
ഭേദചിന്തകമൊക്കെയൊടുക്കാം,,,
വനംജനത്തിനു പൊരുത്ത കൈമുതൽ,,,കവിത
വനം തരും ഫലസമൃദ്ധിയൊക്കെയും,,,കവിത
അകലെയൊരു മലമുകളിലാർദ്രമന്ദസ്മിതം,,,കവിത
അടവി വിടരും പൂവനത്തിന്റെ ഛായയിൽ,,,കവിത
അടിമുടി പുളകം പൂണ്ടേ നിൽപ്പാ,,,കവിത
ണിടയപ്പെൺകൊടി തുമ്പപ്പൂച്ചെടി,,,കവിത
അനുരാഗ  വിലോചനനായി,,,സിനിമാഗാനം
അതിലേറെ മോഹിതനായി,,,
അമ്പിളി അമ്മാവാ താമരക്കുമ്പിളിലെന്തൊണ്ട്,,,നാടകഗാനം
അമ്മേ അമ്മേ അമ്മേ നമ്മുടെ,,,കവിത
അമ്പിളിയമ്മാവനെപ്പോ വരും,,,
അറിയാത്ത പിള്ള ചൊറിയുമ്പോൾ അറിയും,,,പഴഞ്ചൊല്ല്
അല്പന് ഐശ്വര്യം  വന്നാൽ,,,പഴഞ്ചൊല്ല്
അർദ്ധരാത്രി കുടപിടിക്കും,,,
അർദ്ധരാത്രി കുടപിടിക്കും,,,പഴഞ്ചൊല്ല്
അസ്ത ഗിരീശ്വര മസ്തക സീമനി,,,കവിത
ഭാസ്ക്കര ഭഗവാൻ മറയുന്നേരം,,,കവിത
ആനത്തലയോളം വെണ്ണ തരാമെടാ,,,സിനിമാഗാനം
ആനന്ദകൃഷ്ണാ നീ വാ മുറുക്ക്,,,സിനിമാഗാനം
ആരു വാങ്ങു മിന്നാരു വാങ്ങുമീ,,,കവിത
യാരാമത്തിന്റെ രോമാഞ്ചം? ,,,കവിത
ഇതു നിലാവല്ല കുളിർ മഞ്ഞല്ല രാവല്ല,,,കവിത
കളകളം കിളിയല്ല കാടല്ല കാറ്റല്ല,,,കവിത
ഇൻക്വിലാബ് സിന്ദാബാദ്,,,
വിദ്യാർത്ഥി ഐക്യം സിന്ദാബാദ്,,,
ഉന്തുന്തു ന്തുന്തുന്തൂ   ഉന്തുന്തുന്തുന്തുന്തൂ,,,
ഉന്തുന്തു ന്തുന്തുന്തൂ ആളെ ഉന്ത്,,,
ഒന്നാനാം കുന്നിന്മേൽ ഓരടി കുന്നിമേൽ,,,
ഓരായിരം കിളി കൂടുവച്ചു,,,
ഒന്നായ നിന്നെയിഹ രണ്ടെന്നു കണ്ടളവി,,,
ലുണ്ടായോരിണ്ടൽ ബദ മിണ്ടാവതല്ല മമ,,,
ഒരു ജാതി ഒരു മതം ഒരു ദൈവം മനുഷ്യന്,,,കവിത
ഒരു മധുരക്കിനാവിൻ ലഹരിയിൽ,,,സിനിമാ ഗാനം
എങ്ങോ കുടമുല്ലപ്പൂ വിരിഞ്ഞു,,,
ഓത്തുപള്ളീല്‍ നമ്മളന്നു പോയിരുന്നകാലം,,,കവിത
ഓര്‍ത്തു കണ്ണീര്‍വാര്‍ത്തു നില്‍ക്കയാണ്‌ നീലമേഘം,,,
ഓമനതിങ്കൾ കിടാവോ,,,താരാട്ട്  
നല്ല കോമള താമര പൂവോ,,,
ഓലത്തുമ്പത്തിരുന്നൂയലാടും ചെല്ലപൈങ്കിളീ,,,സിനിമാഗാനം
എൻറെ ബാലഗോപാലനെ  എണ്ണ   തേപ്പിക്കുമ്പം പാടെടീ,,,
കണ്ടാലത്കഷ്ടമെത്രയും മുഷിഞ്ഞ,,,
ജീർണ്ണ വസ്ത്രം കൊണ്ട് തറ്റുടുത്തിട്ടുത്തരീയവുമിട്ട്,,,കവിത
കണ്ടു കണ്ടിരിക്കും ജനങ്ങളെ,,,കവിത
കണ്ടില്ലെന്നു വരുത്തുന്നതും ഭവാൻ,,,
കണ്ണിണ കൊണ്ടു കടുകു വറുക്കുന്ന,,,കവിത
പെണ്ണിനെക്കണ്ടാൽ അടങ്ങുമോ പൂരുഷൻ,,,
കഥയമമ കഥയമമ കഥകളതിസാദരം,,,കവിത
കനകചിലങ്ക കിലുങ്ങി കിലുങ്ങി,,,കവിത
കാഞ്ചനകാഞ്ചി കുലുങ്ങിക്കുലുങ്ങി,,,കവിത
കാക്കേ കാക്കേ കൂടെവിടെ,,,കവിത
കൂട്ടിനകത്തൊരു കുഞ്ഞുണ്ടോ,,,
കാണം വിറ്റും ഓണം ഉണ്ണണം,,,പഴഞ്ചൊല്ല്
കാര്യം  കഴിഞ്ഞാൽ  കറിവേപ്പില പുറത്ത്,,,പഴഞ്ചൊല്ല്
കാറ്റിന്റെ കാണാപ്പിയാനോ വിടർത്തുന്ന,,,കവിത
തോറ്റങ്ങൾ കേട്ടിന്നു തോറ്റു പോയ് പാട്ടുകൾ,,,കവിത
കിളിയോടു പറഞ്ഞയച്ചു ഞാൻ,,,കവിത
പുഴയെത്തൊട്ടു വിളിച്ചുണർത്തുവാൻ,,,
