കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Line
മാവേലി നാടു വാണീടും കാലം ,Maveli,Onappattu,1
മാനുഷരെല്ലാരുമൊന്നു പോലെ ,Maveli,Onappattu,2
ആമോദത്തോടെ  വസിക്കും  കാലം,Maveli,Onappattu,3
ആപത്തങ്ങാർക്കുമൊട്ടില്ല  താനും,Maveli,Onappattu,4
ആധികൾ വ്യാധികൾ ഒന്നുമില്ല,Maveli,Onappattu,5
ബാലമരണങ്ങൾ കേൾക്കാനില്ല,Maveli,Onappattu,6
ദുഷ്ടരെ കൺകൊണ്ട്  കാണ്മാനില്ല,Maveli,Onappattu,7
നല്ലവരല്ലാതെ ഇല്ല പാരിൽ ,Maveli,Onappattu,8
കള്ളവുമില്ല ചതിയുമില്ല,Maveli,Onappattu,9
എള്ളോളമില്ല പൊളിവചനം,Maveli,Onappattu,10
വെള്ളികോലാദികൾ നാഴികളും,Maveli,Onappattu,11
എല്ലാം കണക്കിന് തുല്യമായി,Maveli,Onappattu,12
തൃക്കാക്കരേ ദേവനോണം കാണ്മാൻ ,Maveli,Onappattu,13
പോകേണമെന്നു പുറപ്പെട്ടാറെ ,Maveli,Onappattu,14
ബാലന്മാർ വൃദ്ധന്മാർ മറ്റുള്ളോരും ,Maveli,Onappattu,15
തൃക്കാക്കരെക്കു വഴി നടന്നു ,Maveli,Onappattu,16
എല്ലാ കൃഷികളുമൊന്നുപോലെ,Maveli,Onappattu,17
നെല്ലിനു നൂറുവിളവതുണ്ട്,Maveli,Onappattu,18
ആനകുതിരകളാടുമാടും,Maveli,Onappattu,19
കൂടിവരുന്നതിനന്തമില്ല,Maveli,Onappattu,20
ഈ വക പെണ്ണുങ്ങൾ ഭൂമിലുണ്ടോ ?,,Vadakkanpaattu,1
മാനത്തീന്നെങ്ങാനും പൊട്ടി വീണോ ?,,Vadakkanpaattu,2
കുന്നത്തു കൊന്നയും പൂത്തപോലെ ,,Vadakkanpaattu,3
ഇളമാവിൻ തയ്യ് തളിർത്തപോലെ ,,Vadakkanpaattu,4
കുരുത്തോലയായതിൻ വർണ്ണം പോലെ ,,Vadakkanpaattu,5
വയനാടൻ മഞ്ഞൾ മുറിച്ച പോലെ ,,Vadakkanpaattu,6
ഈ വക പെണ്ണുങ്ങൾ ഭൂമിലുണ്ടോ ?,,Vadakkanpaattu,7
അന്നൊട്ടു പാതിര ചെന്ന നേരം ,,Vadakkanpaattu,8
ആറ്റുംമണമ്മേലെ ഉണ്ണിയാർച്ച,,Vadakkanpaattu,9
കൊഞ്ചി കുഴഞ്ഞങ്ങു ചെന്നു ആർച്ച,,Vadakkanpaattu,10
ചിത്രത്തൂണുമറ പറ്റി നിന്നു,,Vadakkanpaattu,11
കണ്ണാടി നോക്കി തിലകം തൊട്ടു ,,Vadakkanpaattu,12
പീലിത്തിരുമുടി കെട്ടിവെച്ചു ,,Vadakkanpaattu,13
വെള്ളിത്തളികാ പൊടി തുടച്ചു ,,Vadakkanpaattu,14
