കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Type
മല്ലികാപാദംപത്തുമൊട്ടുമായ്,ഓമനക്കുട്ടൻ,Neelamperoor Ramakrishnan Nair,1
തീർക്കിലോമനക്കുട്ടനാം,ഓമനക്കുട്ടൻ,Neelamperoor Ramakrishnan Nair,2
സ്വര്‍ണ്ണച്ചാമരം വീശിയെത്തുന്ന,ഓമനക്കുട്ടൻ,Vayalar Ramavarama (Film Song),3
സ്വപ്നമായിരുന്നെങ്കില്‍ ഞാന്‍,ഓമനക്കുട്ടൻ,Vayalar Ramavarama (Film Song),4
താവകാതാത്മാവിനുള്ളിലെ,ഓമനക്കുട്ടൻ,Vayalar Ramavarama (Film Song),5
നിത്യദാഹമായിരുന്നെങ്കില്‍ ഞാന്‍,ഓമനക്കുട്ടൻ,Vayalar Ramavarama (Film Song),6
ഗായികേ നിന്‍ വിപഞ്ചിയിലെ,ഓമനക്കുട്ടൻ,Vayalar Ramavarama (Film Song),7
ഗാനമായിരുന്നെങ്കില്‍ ഞാന്‍,ഓമനക്കുട്ടൻ,Vayalar Ramavarama (Film Song),8
താവകാംഗുലിലാളിതമൊരു,ഓമനക്കുട്ടൻ,Vayalar Ramavarama (Film Song),9
താളമായിരുന്നെങ്കില്‍ ഞാന്‍,ഓമനക്കുട്ടൻ,Vayalar Ramavarama (Film Song),10
ഓമനക്കുട്ടൻ ഗോവിന്ദൻ ബല,ഓമനക്കുട്ടൻ,Venmani Mahan Nambudiripad,1
രാമനെ കൂടെ കൂടാതെ ,ഓമനക്കുട്ടൻ,Venmani Mahan Nambudiripad,2
കാമിനി മണിയമ്മതൻ അംഗ,ഓമനക്കുട്ടൻ,Venmani Mahan Nambudiripad,3
സീമനി ചെന്നു കേറിനാൽ ,ഓമനക്കുട്ടൻ,Venmani Mahan Nambudiripad,4
ഒപ്പത്തിലുള്ള കുട്ടികളൊരു ,ഓമനക്കുട്ടൻ,Venmani Mahan Nambudiripad,5
മുപ്പത്തിരണ്ട് പേരുണ്ട് ,ഓമനക്കുട്ടൻ,Venmani Mahan Nambudiripad,6
അപ്പിള്ളാരായ് വനത്തിൽ മേളിപ്പാൻ ,ഓമനക്കുട്ടൻ,Venmani Mahan Nambudiripad,7
ഇപ്പോൾ ഞാൻ അമ്മേ പോകട്ടേ? ,ഓമനക്കുട്ടൻ,Venmani Mahan Nambudiripad,8
അയ്യോന്നെന്നുണ്ണി പോകല്ലേ ഇപ്പോൾ ,ഓമനക്കുട്ടൻ,Venmani Mahan Nambudiripad,9
തീയു പോലുള്ള വെയിലല്ലേ! ,ഓമനക്കുട്ടൻ,Venmani Mahan Nambudiripad,10
താമരക്കുയിൽ പാടുന്നൂ ദൂരേ ,ഓമനക്കുട്ടൻ,M. Geethadevi,1
താളത്തിൽ പാടീ പൂങ്കാറ്റും,ഓമനക്കുട്ടൻ,M. Geethadevi,2
കാണുമ്പോൾ നാണം പൂക്കുന്നകണ്ണിൽ,ഓമനക്കുട്ടൻ,M. Geethadevi,3
കാണാമൊത്തിരി മോഹങ്ങൾ  ,ഓമനക്കുട്ടൻ,M. Geethadevi,4
പിഞ്ചു മാന്തളിൽ തിന്നു പൂങ്കുയിൽ,ഓമനക്കുട്ടൻ,Vallathol,1
പിഞ്ചു മാന്തളിൽ തിന്നു പൂങ്കുയിൽ,ഓമനക്കുട്ടൻ,Vallathol,2
നന്മതൻ മിഴിയാനന്ദം വഴി ,ഓമനക്കുട്ടൻ,Vallathol,3
ഞ്ഞുന്മയിൽ വിടർന്നീടവേ ,ഓമനക്കുട്ടൻ,Vallathol,4
നേർത്തൊരമ്പിളിത്തോണി മാമര-,ഓമനക്കുട്ടൻ,P. Kunjiraman Nair,1
നേർത്തൊരമ്പിളിത്തോണി മാമര-,ഓമനക്കുട്ടൻ,P. Kunjiraman Nair,2
അങ്ങകലെ യകലെയുണ്ടത്ര ,ഓമനക്കുട്ടൻ,Balamaniamma,1
ഞങ്ങൾ കാണാത്ത പട്ടണം ,ഓമനക്കുട്ടൻ,Balamaniamma,2
കരളിൻ കമ്പികൾ മീട്ടിഞാനാരോ,ഓമനക്കുട്ടൻ,Vyloppalli,1
മുരളീ ഗീതങ്ങൾ വിതറീടും,ഓമനക്കുട്ടൻ,Vyloppalli,2
കതിരവൻ കിഴക്കുദിക്കുമ്പോൾ വിഷു,ഓമനക്കുട്ടൻ,Vyloppalli,3
ക്കണിക്കാണനമ്മ വിളിക്കുമ്പോൾ ,ഓമനക്കുട്ടൻ,Vyloppalli,4
പുത്തൻ ശൈലികൾ പുത്തൻ ചിന്തകൾ ,ഓമനക്കുട്ടൻ,Sanjayan,1
പുത്തനാദർശമെന്നിവ,ഓമനക്കുട്ടൻ,Sanjayan,2
യീശ്വരൻ പോലും പായവേ ,ഓമനക്കുട്ടൻ,Sanjayan,3
വിശ്വാസത്തിലെങ്ങും വ്യാപിച്ചീടവേ,ഓമനക്കുട്ടൻ,Sanjayan,4
