അകലെയൊരു മലമുകളിലാർദ്രമന്ദസ് മിതം ,തടവി വിടരും പൂവനത്തിന്റെ ഛായയിൽ
അടിമുടി പുളകം പൂണ്ടേ നിൽപ്പാ-,ണിടയപ്പെൺകൊടി തുമ്പപ്പൂച്ചെടി
അനുരാഗ  വിലോചനനായി ,അതിലേറെ മോഹിതനായി
അമ്പിളി അമ്മാവാ താമര,ക്കുമ്പിളിലെന്തൊണ്ട് 
അമ്മേ അമ്മേ അമ്മേ നമ്മുടെ  ,അമ്പിളിയമ്മാവനെപ്പോ വരും
അറിയാത്ത പിള്ള,ചൊറിയുമ്പോൾ അറിയും
അല്പന് ഐശ്വര്യം  വന്നാൽ,അർദ്ധരാത്രി കുടപിടിക്കും
അസ്ത ഗിരീശ്വര മസ്തക സീമനി,ഭാസ്ക്കരഭഗവാൻ മറയുന്നേരം
ആനത്തലയോളം വെണ്ണ തരാമെടാ,ആനന്ദകൃഷ്ണാ നീ വാ മുറുക
ആരു വാങ്ങു മിന്നാരു വാങ്ങുമീ-,യാരാമത്തിന്റെ രോമാഞ്ചം?
ഇതു നിലാവല്ല കുളിർ മഞ്ഞല്ല രാവല്ല ,കളകളം കിളിയല്ല കാടല്ല കാറ്റല്ല
ഇൻക്വിലാബ് സിന്ദാബാദ്,വിദ്യാർത്ഥി ഐക്യം സിന്ദാബാദ്
ഉടൽ  മണ്ണുക്ക്,ഉയിർ തമിഴുക്ക്
ഉന്തുന്തു ന്തുന്തുന്തൂ   ഉന്തുന്തു ന്തുന്തുന്തൂ,ഉന്തുന്തു ന്തുന്തുന്തൂ ആളെ ഉന്ത് 
ഏ ബീ സീ ഡീ  ഈ എഫ് ജീ,എ എച്ച് ഐ ജേക്കേ എല്ലമെന്നോ പീ
എല്ലാരും ചൊല്ലണ് എല്ലാരും ചൊല്ലണ്,കല്ലാണ് നെഞ്ചിലെന്ന്
ഒന്നാനാം കുന്നിന്മേൽ  ഓരടി കുന്നിമേൽ,ഒരായിരം കിളി കൂടുവച്ചു
ഒന്നായ നിന്നെയിഹ  രണ്ടെന്നു കണ്ടളവി,ലുണ്ടായോരിണ്ടൽ ബദ മിണ്ടാവതല്ല മമ 
ഒരു ജാതി ഒരു മതം ഒരു ദൈവം മനുഷ്യന്
ഒരു മധുരകിനാവിൻ  ലഹരിയിൽ എങ്ങോ,കുടമുല്ലപ്പൂ വിരിഞ്ഞു
ഓത്തുപള്ളീല്‍ നമ്മളന്നു പോയിരുന്നകാലം ഓര്‍ത്തു ,കണ്ണീര്‍വാര്‍ത്തു നില്‍ക്കയാണ്‌ നീലമേഘം
ഓമനതിങ്കൾ കിടാവോ നല്ല ,കോമള താമര പൂവോ
ഓലത്തുമ്പത്തിരുന്നൂയലാടും  ചെല്ലപൈങ്കിളി എൻറെ ,ബാലഗോപാലനെ എണ്ണ   തേപ്പിക്കുമ്പം പാടെടീ
കണ്ടാലത്കഷ്ടമെത്രയും മുഷിഞ്ഞ  ജീർണ്ണ ,വസ്ത്രം കൊണ്ട്  തറ്റുടുത്തിട്ടുത്തരീയവുമിട്ട്
കണ്ടു കണ്ടിരിക്കും ജനങ്ങളെ ,കണ്ടില്ലെന്നു വരുത്തുന്നതും ഭവാൻ
കണ്ണിണ കൊണ്ടു കടുകു  വറുക്കുന്ന,പെണ്ണിനെക്കണ്ടാൽ അടങ്ങുമോ പൂരുഷൻ
കഥയമമ  കഥയമമ  ,കഥകളതിസാദരം
കനകചിലങ്ക കിലുങ്ങി കിലുങ്ങി ,കാഞ്ചനകാഞ്ചി കുലുങ്ങിക്കുലുങ്ങി
കാക്കേ കാക്കേ കൂടെവിടെ,കൂട്ടിനകത്തൊരു കുഞ്ഞുണ്ടോ
കാണം വിറ്റും ,ഓണം ഉണ്ണണം
കായലരികത്ത് വലയെറിഞ്ഞപ്പം ,വള കിലുക്കിയ സുന്ദരീ
കാര്യം  കഴിഞ്ഞാൽ  കറിവേപ്പില പുറത്ത് ,
കാറ്റിന്റെ കാണാപ്പിയാനോ വിടർത്തുന്ന,തോറ്റങ്ങൾ കേട്ടിന്നു തോറ്റു പോയ് പാട്ടുകൾ
കിളിയോടു പറഞ്ഞയച്ചു ഞാൻ,പുഴയെത്തൊട്ടു വിളിച്ചുണർത്തുവാൻ
കുട്ടനാടൻ പുഞ്ചയിലെ ,കൊച്ചു പെണ്ണെ കുയിലാളെ
കുരുക്കുത്തി മുല്ലയ്ക്കു രണ്ടാണു ജന്മം അ –,തൊരിക്കൽ ചിരിക്കാൻ മടിക്കും ദലങ്ങൾ
കേര നിരകളാടും,ഹരിത ചാരു തീരം
കേരം തിങ്ങും കേരള നാട്ടിൽ ,കെ ആർ ഗൗരി ഭരിക്കട്ടെ
കൊച്ചി കണ്ടവന് അച്ചി വേണ്ട ,
കോകില ജാലങ്ങൾ കോലക്കുഴൽ കേട്ടു,മൂകങ്ങളായങ്ങു നിന്നു പോയി
കോവിലിൻ ചാരത്തെ നാലുകെട്ടിൽ,പൂവു പോലുള്ളൊരു പെണ്ണുണ്ട്
ചക്കിന് വച്ചത്.,കൊക്കിന് കൊണ്ടു
ചോര വീണ മണ്ണിൽനിന്നു-,യർന്നു വന്ന പൂമരം
ജനഗണമന അധി നായക ജയഹേ,ഭാരത ഭാഗ്യ വിധാതാ
ജയ് ജവാൻ ജയ് കിസാൻ,
ജാതിഭേദം മതദ്വേഷം ഏതുമില്ലാതെ സർവരും,സോദരത്വേന വാഴുന്ന മാതൃകാസ്ഥാനമാണിത്
ടൈം ആൻഡ് ടൈഡ് ,വെയ്റ്റ്സ് ഫോർ നണ്  
ട്വിങ്കിൾ ട്വിങ്കിൾ  ലിറ്റിൽ  സ്റ്റാർ,ഹൌ ഐ വണ്ടർ വാട്ട് യു ആർ
തകധിമി  തകജണു തകധിമി  തകജണു,
തിത്തിത്താര തിത്തിത്തെയ് ,തിത്തിത്തെയ്  തക തൈ തോം
തുമ്പീ വാ  തുമ്പക്കുടത്തിൻ ,തുഞ്ചത്തായ് ഊഞ്ഞാലിടാ
ദൈവമേ കൈതൊഴാം കേൾക്കുമാറാകണം ,പാവമാമെന്നെ നീ കാക്കുമാറാകണം 
നാരായണം ഭജേ നാരായണം ,നാരായണം ഭജേ നാരായണം
നിറന്ന പീലികൾ നിരക്കവേ ,നെറുകയിൽക്കൂട്ടി തിറമൊടു കെട്ടി
നീർക്കോലി കടിച്ചാലും അത്താഴം മുടങ്ങും ,
നേരറിയാൻ ,നേരത്തെ അറിയാൻ  
നോക്കടാ നമ്മുടെ മാർഗ്ഗേ കിടക്കുന്ന ,മർക്കടാ നീയങ്ങു മാറിക്കിട ശഠാ
പച്ച കദളീ കുലകൾക്കിടയ്ക്കിടെ ,
പച്ച കദളീ കുലകൾക്കിടയ്ക്കിടെ ,
പന്ത്രണ്ടു മക്കളെ  പെറ്റൊരമ്മേ,നിൻറെ മക്കളിൽ  ഞാനാണു ഭ്രാന്തൻ
പയ്യെത്തിന്നാൽ  പനയും തിന്നാം,
പാടം കൊണ്ട്  വീട് പുലരും,
പാണ്ടൻ നായുടെ പല്ലിനു ശൗര്യം,പണ്ടേ പോലെ ഫലിക്കുന്നില്ല
പാലം കടക്കുവോളം നാരായണ ,പാലം കടന്നാലോ കൂരായണ
പുത്തനച്ചി  പുരപ്പുറം തൂക്കും,
