കവിതകൾ/ പാട്ടുകൾ ,വൃത്തം ,Poet ,Line
മാത്രയഞ്ചക്ഷരംമുന്നിൽവരുന്നോരുഗണങ്ങളെ ,കാകളി,Vrithamanjarai,1
എട്ടുചേർത്തുള്ളീരടിക്കുചൊല്ലാംകാകളിയെന്നുപേർ,കാകളി,Vrithamanjarai,2
ത്ര്യക്ഷരപഞ്ചമാത്രാഗണംനന്നാലു,കാകളി,Neelamperoor Ramakrishnan Nair,1
ചേർന്നിടുംഗുർവ്വാദിയീരടികാകളി ,കാകളി,Neelamperoor Ramakrishnan Nair,2
പ്രഭുംപ്രാണനാഥം വിഭുംവിശ്വനാഥം,കാകളി,Traditional,1
ജഗന്നാഥനാഥം സദാനന്ദഭാജം,കാകളി,Traditional,2
പുത്രിയുംധാത്രിയുമൊന്നുപോലിങ്ങനെ,കാകളി,M. Geethadevi,1
നിന്ദിതയാകുവാനെന്തൊരു കാരണം,കാകളി,M. Geethadevi,2
മണിവേണുനാദസുധ ചൊരിയുന്നഭൂതിയതു,കാകളി,M. Geethadevi,1
പറയാവതല്ലസഖി പൊഴിയുന്നു രാഗമഴ,കാകളി,M. Geethadevi,2
ശശികിരണ മൊളിവിതറുമാവണിപ്പൂവനം ,കാകളി,M. Geethadevi,1
കാത്തുനില്പൂവതിൻ ചാരെയാകാമിനി,കാകളി,M. Geethadevi,2
അവനിയിലെകളികളിതു കണ്ടൊരാതാരകൾ ,കാകളി,M. Geethadevi,1
കൺചിമ്മി കാവലായ് ചൊന്നതു കേട്ടുവോ,കാകളി,M. Geethadevi,2
ഓർത്താലിതെന്തുകഥ പച്ചക്കറിക്കുവില,കാകളി,M. Geethadevi,1
കൂടിക്കഴിഞ്ഞുവതു കിട്ടാനുമില്ലവഴി,കാകളി,M. Geethadevi,2
മനസ്സിൽത്തെളിഞ്ഞു പ്രഭാപൂരഹാസം,കാകളി,M. Geethadevi,1
പ്രകാശംപരത്തുംചിദാനന്ദരൂപം,കാകളി,M. Geethadevi,2
അഹംബ്രഹ്മമെന്നുള്ളിലാകുന്നനേരം,കാകളി,M. Geethadevi,1
