കവിതകൾ/പാട്ടുകൾ ,വൃത്തം ,Poet ,Line
മാവേലി നാടു വാണീടും കാലം ,,Onappattu Maveli,1
മാനുഷരെല്ലാരുമൊന്നു പോലെ ,,Onappattu Maveli,2
ആമോദത്തോടെ  വസിക്കും  കാലം,,Onappattu Maveli,3
ആപത്തങ്ങാർക്കുമൊട്ടില്ല  താനും,,Onappattu Maveli,4
ആധികൾ വ്യാധികൾ ഒന്നുമില്ല,,Onappattu Maveli,5
ബാലമരണങ്ങൾ കേൾക്കാനില്ല,,Onappattu Maveli,6
ദുഷ്ടരെ കൺകൊണ്ട്  കാണ്മാനില്ല,,Onappattu Maveli,7
നല്ലവരല്ലാതെ ഇല്ല പാരിൽ … ഇല്ല പാരിൽ,,Onappattu Maveli,8
കള്ളവുമില്ല ചതിയുമില്ല,,Onappattu Maveli,9
എള്ളോളമില്ല പൊളിവചനം,,Onappattu Maveli,10
വെള്ളികോലാദികൾ നാഴികളും,,Onappattu Maveli,11
എല്ലാം കണക്കിന് തുല്യമായി… തുല്യമായി,,Onappattu Maveli,12
തൃക്കാക്കരേ ദേവനോണം കാണ്മാൻ ,,Onappattu Maveli,13
പോകേണമെന്നു പുറപ്പെട്ടാറെ ,,Onappattu Maveli,14
ബാലന്മാർ വൃദ്ധന്മാർ മറ്റുള്ളോരും ,,Onappattu Maveli,15
തൃക്കാക്കരെക്കു വഴി നടന്നു ,,Onappattu Maveli,16
എല്ലാ കൃഷികളുമൊന്നുപോലെ,,Onappattu Maveli,17
നെല്ലിനു നൂറുവിളവതുണ്ട്,,Onappattu Maveli,18
ആനകുതിരകളാടുമാടും,,Onappattu Maveli,19
കൂടിവരുന്നതിനന്തമില്ല,,Onappattu Maveli,20
ഈ വക പെണ്ണുങ്ങൾ ഭൂമിലുണ്ടോ ,,,1
മാനത്തീന്നെങ്ങാനും പൊട്ടി വീണോ ,,,2
കുന്നത്തു കൊന്നയും പൂത്തപോലെ ,,,3
ഇളമാവിൻ തയ്യ് തളിർത്തപോലെ ,,,4
കുരുത്തോലയായതിൻ വർണ്ണം പോലെ ,,,5
വയനാടൻ മഞ്ഞൾ മുറിച്ച പോലെ ,,,6
ഈ വക പെണ്ണുങ്ങൾ ഭൂമിലുണ്ടോ ,,,7
അന്നൊട്ടു പാതിര ചെന്ന നേരം ,,,8
ആറ്റുംമണമ്മേലെ ഉണ്ണിയാർച്ച,,,9
നില്ക്കെടാ നില്ക്കെടാ പാഞ്ചെറുക്കാ,,,10
എവിടന്നു വരുന്നെടാ പാണാ നീയ്യ് ,,,11
കൊഞ്ചി കുഴഞ്ഞങ്ങു ചെന്നു ആർച്ച,,,12
ചിത്രത്തൂണുമറ പറ്റി നിന്നു,,,13
കണ്ണാടി നോക്കി തിലകം തൊട്ടു ,,,14
