കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet
ഗണംദ്വയക്ഷരമെട്ടണ്ണമൊന്നാംപാദത്തിൽ,നതോന്നത,Vrithamanjari
മാറ്റതിൽ ഗുണമാറര നില്ക്കേണം രണ്ടുമെട്ടാമതക്ഷരേ,നതോന്നത,Vrithamanjari
ഗുരുതന്നെയെഴുത്തെല്ലാമിശ്ശീലിൻപേർ നതോന്നത,നതോന്നത,Vrithamanjari
രണ്ടക്ഷരം ചേർന്നു വരുമെട്ടുഗണമാദി പാദം,നതോന്നത,Neelamperoor Ramakrishnan Nair
മൂന്നക്ഷരം കുറഞ്ഞുണ്ടാം ദ്വിതീയപാദം,നതോന്നത,Neelamperoor Ramakrishnan Nair
അക്ഷരങ്ങളഖിലവും ഗുരു നിറുത്തെട്ടിൽ വേണം,നതോന്നത,Neelamperoor Ramakrishnan Nair
വഞ്ചിപ്പാട്ടിൻ വൃത്തമാകും നതോന്നതയ്ക്കു,നതോന്നത,Neelamperoor Ramakrishnan Nair
ഓ തിത്തിത്താരാ തിത്തിത്തൈ,നതോന്നത,Vanchippatt
തിത്തൈ തിത്തൈ തകതയ്,നതോന്നത,Vanchippatt
കുട്ടനാടൻ പുഞ്ചയിലെ കൊച്ചുപെണ്ണേ കുയിലാളേ,നതോന്നത,Vanchippatt
കൊട്ടുവേണം കുഴൽ വേണം കുരവ വേണം,നതോന്നത,Vanchippatt
വരവേൽക്കാനാളൂ വേണം കൊടിതോരണങ്ങൾ വേണം,നതോന്നത,Vanchippatt
വിജയശ്രീലാളിതരായ്  വരുന്നു ഞങ്ങൾ,നതോന്നത,Vanchippatt
കറുത്ത ചിറകു വച്ചു അരയന്നക്കിളി പോലെ,നതോന്നത,Vanchippatt
കുതിച്ചു കുതിച്ചു പായും കുതിര പോലെ,നതോന്നത,Vanchippatt
തെങ്ങോലകൾ പൊന്നോലകൾ മാടി മാടി വിളിക്കുന്നു,നതോന്നത,Vanchippatt
തെന്നൽ വന്നു വെഞ്ചാമരം വീശിത്തരുന്നു,നതോന്നത,Vanchippatt
ചമ്പക്കുളം പള്ളിക്കൊരു വള്ളം കളി പെരുന്നാൾ,നതോന്നത,Vanchippatt
