കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Line,
ഓ തിത്തിത്താരാ തിത്തിത്തൈ,നതോന്നത,Vanchippatt,1,
തിത്തൈ  തക തയ് തയ്  തോം,നതോന്നത,Vanchippatt,2,
കുട്ടനാടൻ പുഞ്ചയിലെ കൊച്ചുപെണ്ണേ കുയിലാളേ,നതോന്നത,Vanchippatt,1,
കൊട്ടുവേണം കുഴൽ വേണം കുരവ വേണം,നതോന്നത,Vanchippatt,2,
വരവേൽക്കാനാളൂ വേണം കൊടിതോരണങ്ങൾ വേണം ,നതോന്നത,Vanchippatt,1,
വിജയശ്രീലാളിതരായ്  വരുന്നു ഞങ്ങൾ,നതോന്നത,Vanchippatt,2,
കറുത്ത ചിറകു വച്ചു അരയന്നക്കിളി പോലെ,നതോന്നത,Vanchippatt,1,
കുതിച്ചു കുതിച്ചു പായും കുതിര പോലെ,നതോന്നത,Vanchippatt,2,
തെങ്ങോലകൾ പൊന്നോലകൾ മാടി മാടി വിളിക്കുന്നു,നതോന്നത,Vanchippatt,1,
തെന്നൽ വന്നു വെഞ്ചാമരം വീശിത്തരുന്നു,നതോന്നത,Vanchippatt,2,
ചമ്പക്കുളം പള്ളിക്കൊരു വള്ളം കളി പെരുന്നാൾ,നതോന്നത,Vanchippatt,1,
അമ്പലപ്പുഴയിലൊരു കുത്ത് വിളക്ക്,നതോന്നത,Vanchippatt,2,
കരുമാടിക്കുട്ടനിന്നു പനിനീർക്കാവടിയാട്ടം,നതോന്നത,Vanchippatt,1,
കാവിലമ്മക്കിന്നു രാത്രി ഗരുഢൻ തൂക്കം,നതോന്നത,Vanchippatt,2,
ഉണ്ണി നിന്റെ തിരുമുഖം തിരുമേനി ഭംഗികണ്ടാൽ,നതോന്നത,Arnost Pathiri,1,
കണ്ണിനാനന്ദവും ഭാഗ്യസുഖമേ പുത്രാ,നതോന്നത,Arnost Pathiri,2,
ആദമെന്ന പിതാവിന്റെ തലയിൽ വൻമരം തന്നിൽ,നതോന്നത,Arnost Pathiri,1,
ആദിനാഥാ കുരിശിൽ നീ തൂങ്ങിയോ പുത്രാ,നതോന്നത,Arnost Pathiri,2,
ആണിയിന്മേൽ തൂങ്ങി നിന്റെ ഞരമ്പെല്ലാം വലിയുന്ന,നതോന്നത,Arnost Pathiri,1,
പ്രാണവേദന ആസകലം സഹിച്ചോ പുത്രാ,നതോന്നത,Arnost Pathiri,2,
സൂര്യനും പോയ്മറഞ്ഞയ്യോ ഇരുട്ടായി ഉച്ചനേരം,നതോന്നത,Arnost Pathiri,1,
വീര്യവാനെ നീ മരിച്ച ഭീതിയോ പുത്രാ,നതോന്നത,Arnost Pathiri,2,
വീറോടെയാക്കളിവഞ്ചി തുഴഞ്ഞ് തുഴഞ്ഞ് കേറും,നതോന്നത,Sathyasheelan,1,
ആരോമലിൻ  കുഞ്ഞുപെങ്ങൾ  ആർച്ചയെപ്പോലെ,നതോന്നത,Sathyasheelan,2,
ചെറുമനും പരമനും സുലൈമാനും ചാക്കോച്ചനും,നതോന്നത,Sathyasheelan,1,
ചുണ്ടൻ  വള്ളം തുഴയുന്ന തുഴച്ചിൽ  കണ്ടാൽ,നതോന്നത,Sathyasheelan,2,
കുറിച്ചിക്കൽ  പള്ളിയിൽ മെഴുക്തിരി വെക്കണം,നതോന്നത,Sathyasheelan,1,
കുലദൈവങ്ങളെ ഓർത്ത്  തൊഴുകവേണം,നതോന്നത,Sathyasheelan,2,
ദൈവത്തിന്റെ സ്വന്തം നാടായ് പുകൾ പെറ്റ കേരളത്തിൻ,നതോന്നത,Swapna Saji,1,
മക്കളേറെ വിരാജിപ്പൂ ലോകമെമ്പാടും,നതോന്നത,Swapna Saji,2,
ഈ ലോകത്തിൽ ഏതു കോണിൽ കഴിഞ്ഞാലും നാടിൻ സ്വത്വം,നതോന്നത,Swapna Saji,1,
മറക്കാതെ കാത്തിടാനായി ശ്രമിച്ചിടേണം,നതോന്നത,Swapna Saji,2,
ജാതിമതഭേദമന്യേ പ്രവാസിയാം മലയാളി,നതോന്നത,Swapna Saji,1,
ഏകത്വത്തിൽ മന്ത്രധ്വനി മുഴക്കിടേണം,നതോന്നത,Swapna Saji,2,
മണ്ണുതിന്നു മകനെന്നു കേട്ടിട്ടമ്മ കോപിച്ചപ്പോൾ,നതോന്നത,Kuchela Vritham,1,
ഉണ്ണിക്കൃഷ്ണൻ വാ പിളർന്നിട്ടുലകീരേഴും,നതോന്നത,Kuchela Vritham,2,
ചാലേ വലത്തോട്ടൊഴിഞ്ഞ ചകോരാദി പക്ഷികടെ,നതോന്നത,Kuchela Vritham,1,
കോലാഹലം കേട്ടുകൊണ്ടു വിനർഗമിച്ചു.,നതോന്നത,Kuchela Vritham,2,
ഏഴു രണ്ടുലകുവാഴിയായ തമ്പുരാനെത്രയും,നതോന്നത,Kuchela Vritham,1,
താഴെത്തന്റെ വയസ്യനെ ദൂരത്തു കണ്ടു,നതോന്നത,Kuchela Vritham,2,
വിശേഷങ്ങളിനിയും പറഞ്ഞുകൊള്ളാം ബന്ധംവിനാ,നതോന്നത,Kuchela Vritham,1,
വിശക്കുന്നു നമുക്കതു സഹിച്ചുകൂടാ,നതോന്നത,Kuchela Vritham,2,
കേശവൻ ഗോവിന്ദൻ മധു-സൂദനൻ കൈടഭാന്തകൻ,നതോന്നത,Kuchela Vritham,1,
ക്ലേശപാശവിനാശനൻ കേശീമഥനൻ,നതോന്നത,Kuchela Vritham,2,
രാമകൃഷ്ണ ഗോവിന്ദ ഗോപാല ബലഭദ്രരാമ,നതോന്നത,Kuchela Vritham,1,
രാമാനുജ രമാപതേ പരശുരാമ,നതോന്നത,Kuchela Vritham,2,
ബന്ധുര തിരുവനന്തപുരത്തെയും ഭക്ത ജന,നതോന്നത,Kuchela Vritham,1,
ബന്ധുവായ പത്മനാഭനേയും തൊഴുന്നേൻ,നതോന്നത,Kuchela Vritham,2,
ചിന്നിയ പൂങ്കുലകളാം പട്ടുതൊങ്ങൽ ചൂഴുമൊരു,നതോന്നത,Kumaranasan,1,
